Media;Datumlabel;Begindatum;Materiaal en techniek;Hoogte;Breedte;Diepte;Afmetingenlabel
1;ca. 1975;1975;leer, metaal, textiel;38;42;11;H 38 X B 42 X D 11 cm.
1;1980-1990;1980;leer, textiel, metaal;40;37;8;H 40 X B 37 X D 8,0 cm.
1;1950-1966;1950;leer, metaal, textiel;5;34;42;H 5,0 X B 34 X D 42 cm.
1;1974-1975;1974;leer, metaal, textiel;10;37;40;H 10 X B 37 X D 40 cm.
1;1950-1994;1950;leer, metaal, textiel;12;35;42;H 12 X B 35 X D 42 cm.
1;1975-1995;1975;kunststof, textiel;24;31;6;H 24 X B 31 X D 6,0 cm.
1;1991;1991;kunststof, kleurstof;48;36;6;H 48 X B 36 X D 6,0 cm.
1;1950-1970;1950;textiel, leer, metaal;33;40;4;H 33 X B 40 X D 4,0 cm..
1;1950-1970;1950;leer, textiel, metaal;34;44;8;H 34 X B 44 X D 8,0 cm.
1;1960-1990;1960;leer, textiel, metaal;32;42;6;H 32 X B 42 X D 6,0 cm.
1;1950-1980;1950;leer, textiel, metaal;33;43;12;H 33 X B 43 X D 12 cm.
1;ca. 1950;1950;leer, metaal, textiel;34;40;14;H 34 X B 40 X D 14 cm.
1;1950-1960;1950;leer, textiel, metaal;30;33;9;H 30 X B 33 X D 9,0 cm.
1;1950-1990;1950;leer, textiel, metaal;33;39;3;H 33 X B 39 X D 3,0 cm.
2;1960-1994;1960;leer, textiel, metaal;34;44;7;H 34 X B 44 X D 7,0 cm.
1;1950-1980;1950;metaal, textiel;50;46;10;H 50 X B 46 X D 10 cm.
1;ca. 1975;1975;leer, metaal, textiel;12;33;33;H 12 X B 33 X D 33 cm.
1;1980-1990;1980;leer, textiel, metaal;37;42;8;H 37 X B 42 X D 8,0 cm.
1;ca. 1950;1950;leer, textiel, metaal;32;42;6;H 32 X B 42 X D 6,0 cm.
1;1950-1970;1950;leer, metaal, textiel, kleurstof;34;32;0.5;H 34 X B 32 X D 0,5 cm.
1;1970-1975;1970;leer, metaal, textiel;36;42;13;H 36 X B 42 X D 13 cm.
1;1950-1970;1950;leer, metaal, textiel;37;42;10;H 37 X B 42 X D 10 cm.
1;ca. 1970;1970;leer, metaal, textiel;31;41;11;H 31 X B 41 X D 11 cm.
